,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Afghanistan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Burundi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Central African Republic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Comoros,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"Congo, Dem. Rep.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Congo, Rep.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Eritrea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Guinea,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Haiti,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Kosovo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Liberia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Myanmar,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Nepal,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Sao Tome and Principe,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Solomon Islands,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Somalia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Sudan,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Sudan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Syrian Arab Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Timor-Leste,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Togo,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
West Bank and Gaza,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Western Sahara,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Zimbabwe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
